year,team,wins,losses
2001,Cincinnati Reds,66,96
2001,Pittsburgh Pirates,62,100
2001,Arizona Diamondbacks,92,70
2001,San Francisco Giants,90,72
2001,Los Angeles Dodgers,86,76
2001,San Diego Padres,79,83
2001,Colorado Rockies,73,89
2002,New York Yankees,103,58
2002,Boston Red Sox,93,69
2002,Toronto Blue Jays,78,84
2002,Baltimore Orioles,67,95
2002,Tampa Bay Devil Rays,55,106
2002,Minnesota Twins,94,67
2002,Chicago White Sox,81,81
2002,Cleveland Indians,74,88
2002,Kansas City Royals,62,100
2002,Detroit Tigers,55,106
2002,Oakland Athletics,103,59
2002,Anaheim Angels,99,63
2002,Seattle Mariners,93,69
2002,Texas Rangers,72,90
2002,Atlanta Braves,101,59
2002,Montreal Expos,83,79
2002,Philadelphia Phillies,80,81
2002,Florida Marlins,79,83
2002,New York Mets,75,86
2002,St. Louis Cardinals,97,65
2002,Houston Astros,84,78
2002,Cincinnati Reds,78,84
2002,Pittsburgh Pirates,72,89
2002,Chicago Cubs,67,95
2002,Milwaukee Brewers,56,106
2002,Arizona Diamondbacks,98,64
2002,San Francisco Giants,95,66
2002,Los Angeles Dodgers,92,70
2002,Colorado Rockies,73,89
2002,San Diego Padres,66,96
2003,New York Yankees,101,61
2003,Boston Red Sox,95,67
2003,Toronto Blue Jays,86,76
2003,Baltimore Orioles,71,91
2003,Tampa Bay Devil Rays,63,99
2003,Minnesota Twins,90,72
2003,Chicago White Sox,86,76
2003,Kansas City Royals,83,79
2003,Cleveland Indians,68,94
2003,Detroit Tigers,43,119
2003,Oakland Athletics,96,66
2003,Seattle Mariners,93,69
2003,Anaheim Angels,77,85
2003,Texas Rangers,71,91
2003,Atlanta Braves,101,61
2003,Florida Marlins,91,71
2003,Philadelphia Phillies,86,76
2003,Montreal Expos,83,79
2003,New York Mets,66,95
2003,Chicago Cubs,88,74
2003,Houston Astros,87,75
2003,St. Louis Cardinals,85,77
2003,Pittsburgh Pirates,75,87
2003,Cincinnati Reds,69,93
2003,Milwaukee Brewers,68,94
2003,San Francisco Giants,100,61
2003,Los Angeles Dodgers,85,77
2003,Arizona Diamondbacks,84,78
2003,Colorado Rockies,74,88
2003,San Diego Padres,64,98
2004,New York Yankees,101,61
2004,Boston Red Sox,98,64
2004,Baltimore Orioles,78,84
2004,Tampa Bay Devil Rays,70,91
2004,Toronto Blue Jays,67,94
2004,Minnesota Twins,92,70
2004,Chicago White Sox,83,79
2004,Cleveland Indians,80,82
2004,Detroit Tigers,72,90
2004,Kansas City Royals,58,104
2004,Anaheim Angels,92,70
2004,Oakland Athletics,91,71
2004,Texas Rangers,89,73
2004,Seattle Mariners,63,99
2004,Atlanta Braves,96,66
2004,Philadelphia Phillies,86,76
2004,Florida Marlins,83,79
2004,New York Mets,71,91
2004,Montreal Expos,67,95
2004,St. Louis Cardinals,105,57
2004,Houston Astros,92,70
2004,Chicago Cubs,89,73
2004,Cincinnati Reds,76,86
2004,Pittsburgh Pirates,72,89
2004,Milwaukee Brewers,67,94
2004,Los Angeles Dodgers,93,69
2004,San Francisco Giants,91,71
2004,San Diego Padres,87,75
2004,Colorado Rockies,68,94
2004,Arizona Diamondbacks,51,111
2005,New York Yankees,95,67
2005,Boston Red Sox,95,67
2005,Toronto Blue Jays,80,82
2005,Baltimore Orioles,74,88
2005,Tampa Bay Devil Rays,67,95
2005,Chicago White Sox,99,63
2005,Cleveland Indians,93,69
2005,Minnesota Twins,83,79
2005,Detroit Tigers,71,91
2005,Kansas City Royals,56,106
2005,Los Angeles Angels of Anaheim,95,67
2005,Oakland Athletics,88,74
2005,Texas Rangers,79,83
2005,Seattle Mariners,69,93
2005,Atlanta Braves,90,72
2005,Philadelphia Phillies,88,74
2005,Florida Marlins,83,79
2005,New York Mets,83,79
2005,Washington Nationals,81,81
2005,St. Louis Cardinals,100,62
2005,Houston Astros,89,73
2005,Milwaukee Brewers,81,81
2005,Chicago Cubs,79,83
2005,Cincinnati Reds,73,89
2005,Pittsburgh Pirates,67,95
2005,San Diego Padres,82,80
2005,Arizona Diamondbacks,77,85
2005,San Francisco Giants,75,87
2005,Los Angeles Dodgers,71,91
2005,Colorado Rockies,67,95
2006,New York Yankees,97,65
2006,Toronto Blue Jays,87,75
2006,Boston Red Sox,86,76
2006,Baltimore Orioles,70,92
2006,Tampa Bay Devil Rays,61,101
2006,Minnesota Twins,96,66
2006,Detroit Tigers,95,67
2006,Chicago White Sox,90,72
2006,Cleveland Indians,78,84
2006,Kansas City Royals,62,100
2006,Oakland Athletics,93,69
2006,Los Angeles Angels of Anaheim,89,73
2006,Texas Rangers,80,82
2006,Seattle Mariners,78,84
2006,New York Mets,97,65
2006,Philadelphia Phillies,85,77
2006,Atlanta Braves,79,83
2006,Florida Marlins,78,84
2006,Washington Nationals,71,91
2006,St. Louis Cardinals,83,78
2006,Houston Astros,82,80
2006,Cincinnati Reds,80,82
2006,Milwaukee Brewers,75,87
2006,Pittsburgh Pirates,67,95
2006,Chicago Cubs,66,96
2006,San Diego Padres,88,74
2006,Los Angeles Dodgers,88,74
2006,San Francisco Giants,76,85
2006,Arizona Diamondbacks,76,86
2006,Colorado Rockies,76,86
2007,Boston Red Sox,96,66
2007,New York Yankees,94,68
2007,Toronto Blue Jays,83,79
2007,Baltimore Orioles,69,93
2007,Tampa Bay Devil Rays,66,96
2007,Cleveland Indians,96,66
2007,Detroit Tigers,88,74
2007,Minnesota Twins,79,83
2007,Chicago White Sox,72,90
2007,Kansas City Royals,69,93
2007,Los Angeles Angels of Anaheim,94,68
2007,Seattle Mariners,88,74
2007,Oakland Athletics,76,86
2007,Texas Rangers,75,87
2007,Philadelphia Phillies,89,73
2007,New York Mets,88,74
2007,Atlanta Braves,84,78
2007,Washington Nationals,73,89
2007,Florida Marlins,71,91
2007,Chicago Cubs,85,77
2007,Milwaukee Brewers,83,79
2007,St. Louis Cardinals,78,84
2007,Houston Astros,73,89
2007,Cincinnati Reds,72,90
2007,Pittsburgh Pirates,68,94
2007,Arizona Diamondbacks,90,72
2007,Colorado Rockies,90,73
2007,San Diego Padres,89,74
2007,Los Angeles Dodgers,82,80
2007,San Francisco Giants,71,91
2008,Tampa Bay Rays,97,65
2008,Boston Red Sox,95,67
2008,New York Yankees,89,73
2008,Toronto Blue Jays,86,76
2008,Baltimore Orioles,68,93
2008,Chicago White Sox,89,74
2008,Minnesota Twins,88,75
2008,Cleveland Indians,81,81
2008,Kansas City Royals,75,87
2008,Detroit Tigers,74,88
2008,Los Angeles Angels of Anaheim,100,62
2008,Texas Rangers,79,83
2008,Oakland Athletics,75,86
2008,Seattle Mariners,61,101
2008,Philadelphia Phillies,92,70
2008,New York Mets,89,73
2008,Florida Marlins,84,77
2008,Atlanta Braves,72,90
2008,Washington Nationals,59,102
2008,Chicago Cubs,97,64
2008,Milwaukee Brewers,90,72
2008,Houston Astros,86,75
2008,St. Louis Cardinals,86,76
2008,Cincinnati Reds,74,88
2008,Pittsburgh Pirates,67,95
2008,Los Angeles Dodgers,84,78
2008,Arizona Diamondbacks,82,80
2008,Colorado Rockies,74,88
2008,San Francisco Giants,72,90
2008,San Diego Padres,63,99
2009,New York Yankees,103,59
2009,Boston Red Sox,95,67
2009,Tampa Bay Rays,84,78
2009,Toronto Blue Jays,75,87
2009,Baltimore Orioles,64,98
2009,Minnesota Twins,87,76
2009,Detroit Tigers,86,77
2009,Chicago White Sox,79,83
2009,Cleveland Indians,65,97
2009,Kansas City Royals,65,97
2009,Los Angeles Angels of Anaheim,97,65
2009,Texas Rangers,87,75
2009,Seattle Mariners,85,77
2009,Oakland Athletics,75,87
2009,Philadelphia Phillies,93,69
2009,Florida Marlins,87,75
2009,Atlanta Braves,86,76
2009,New York Mets,70,92
2009,Washington Nationals,59,103
2009,St. Louis Cardinals,91,71
2009,Chicago Cubs,83,78
2009,Milwaukee Brewers,80,82
2009,Cincinnati Reds,78,84
2009,Houston Astros,74,88
2009,Pittsburgh Pirates,62,99
2009,Los Angeles Dodgers,95,67
2009,Colorado Rockies,92,70
2009,San Francisco Giants,88,74
2009,San Diego Padres,75,87
2009,Arizona Diamondbacks,70,92
2010,Tampa Bay Rays,96,66
2010,New York Yankees,95,67
2010,Boston Red Sox,89,73
2010,Toronto Blue Jays,85,77
2010,Baltimore Orioles,66,96
2010,Minnesota Twins,94,68
2010,Chicago White Sox,88,74
2010,Detroit Tigers,81,81
2010,Cleveland Indians,69,93
2010,Kansas City Royals,67,95
2010,Texas Rangers,90,72
2010,Oakland Athletics,81,81
2010,Los Angeles Angels of Anaheim,80,82
2010,Seattle Mariners,61,101
2010,Philadelphia Phillies,97,65
2010,Atlanta Braves,91,71
2010,Florida Marlins,80,82
2010,New York Mets,79,83
2010,Washington Nationals,69,93
2010,Cincinnati Reds,91,71
2010,St. Louis Cardinals,86,76
2010,Milwaukee Brewers,77,85
2010,Houston Astros,76,86
2010,Chicago Cubs,75,87
2010,Pittsburgh Pirates,57,105
2010,San Francisco Giants,92,70
2010,San Diego Padres,90,72
2010,Colorado Rockies,83,79
2010,Los Angeles Dodgers,80,82
2010,Arizona Diamondbacks,65,97
2011,New York Yankees,97,65
2011,Tampa Bay Rays,91,71
2011,Boston Red Sox,90,72
2011,Toronto Blue Jays,81,81
2011,Baltimore Orioles,69,93
2011,Detroit Tigers,95,67
2011,Cleveland Indians,80,82
2011,Chicago White Sox,79,83
2011,Kansas City Royals,71,91
2011,Minnesota Twins,63,99
2011,Texas Rangers,96,66
2011,Los Angeles Angels of Anaheim,86,76
2011,Oakland Athletics,74,88
2011,Seattle Mariners,67,95
2011,Philadelphia Phillies,102,60
2011,Atlanta Braves,89,73
2011,Washington Nationals,80,81
2011,New York Mets,77,85
2011,Florida Marlins,72,90
2011,Milwaukee Brewers,96,66
2011,St. Louis Cardinals,90,72
2011,Cincinnati Reds,79,83
2011,Pittsburgh Pirates,72,90
2011,Chicago Cubs,71,91
2011,Houston Astros,56,106
2011,Arizona Diamondbacks,94,68
2011,San Francisco Giants,86,76
2011,Los Angeles Dodgers,82,79
2011,Colorado Rockies,73,89
2011,San Diego Padres,71,91
2012,New York Yankees,95,67
2012,Baltimore Orioles,93,69
2012,Tampa Bay Rays,90,72
2012,Toronto Blue Jays,73,89
2012,Boston Red Sox,69,93
2012,Detroit Tigers,88,74
2012,Chicago White Sox,85,77
2012,Kansas City Royals,72,90
2012,Cleveland Indians,68,94
2012,Minnesota Twins,66,96
2012,Oakland Athletics,94,68
2012,Texas Rangers,93,69
2012,Los Angeles Angels of Anaheim,89,73
2012,Seattle Mariners,75,87
2012,Washington Nationals,98,64
2012,Atlanta Braves,94,68
2012,Philadelphia Phillies,81,81
2012,New York Mets,74,88
2012,Miami Marlins,69,93
2012,Cincinnati Reds,97,65
2012,St. Louis Cardinals,88,74
2012,Milwaukee Brewers,83,79
2012,Pittsburgh Pirates,79,83
2012,Chicago Cubs,61,101
2012,Houston Astros,55,107
2012,San Francisco Giants,94,68
2012,Los Angeles Dodgers,86,76
2012,Arizona Diamondbacks,81,81
2012,San Diego Padres,76,86
2012,Colorado Rockies,64,98
2013,Boston Red Sox,97,65
2013,Tampa Bay Rays,92,71
2013,Baltimore Orioles,85,77
2013,New York Yankees,85,77
2013,Toronto Blue Jays,74,88
2013,Detroit Tigers,93,69
2013,Cleveland Indians,92,70
2013,Kansas City Royals,86,76
2013,Minnesota Twins,66,96
2013,Chicago White Sox,63,99
2013,Oakland Athletics,96,66
2013,Texas Rangers,91,72
2013,Los Angeles Angels of Anaheim,78,84
2013,Seattle Mariners,71,91
2013,Houston Astros,51,111
2013,Atlanta Braves,96,66
2013,Washington Nationals,86,76
2013,New York Mets,74,88
2013,Philadelphia Phillies,73,89
2013,Miami Marlins,62,100
2013,St. Louis Cardinals,97,65
2013,Pittsburgh Pirates,94,68
2013,Cincinnati Reds,90,72
2013,Milwaukee Brewers,74,88
2013,Chicago Cubs,66,96
2013,Los Angeles Dodgers,92,70
2013,Arizona Diamondbacks,81,81
2013,San Diego Padres,76,86
2013,San Francisco Giants,76,86
2013,Colorado Rockies,74,88
2014,Baltimore Orioles,96,66
2014,New York Yankees,84,78
2014,Toronto Blue Jays,83,79
2014,Tampa Bay Rays,77,85
2014,Boston Red Sox,71,91
2014,Detroit Tigers,90,72
2014,Kansas City Royals,89,73
2014,Cleveland Indians,85,77
2014,Chicago White Sox,73,89
2014,Minnesota Twins,70,92
2014,Los Angeles Angels of Anaheim,98,64
2014,Oakland Athletics,88,74
2014,Seattle Mariners,87,75
2014,Houston Astros,70,92
2014,Texas Rangers,67,95
2014,Washington Nationals,96,66
2014,Atlanta Braves,79,83
2014,New York Mets,79,83
2014,Miami Marlins,77,85
2014,Philadelphia Phillies,73,89
2014,St. Louis Cardinals,90,72
2014,Pittsburgh Pirates,88,74
2014,Milwaukee Brewers,82,80
2014,Cincinnati Reds,76,86
2014,Chicago Cubs,73,89
2014,Los Angeles Dodgers,94,68
2014,San Francisco Giants,88,74
2014,San Diego Padres,77,85
2014,Colorado Rockies,66,96
2014,Arizona Diamondbacks,64,98
2015,Toronto Blue Jays,93,69
2015,New York Yankees,87,75
2015,Baltimore Orioles,81,81
2015,Tampa Bay Rays,80,82
2015,Boston Red Sox,78,84
2015,Kansas City Royals,95,67
2015,Minnesota Twins,83,79
2015,Cleveland Indians,81,80
2015,Chicago White Sox,76,86
2015,Detroit Tigers,74,87
2015,Texas Rangers,88,74
2015,Houston Astros,86,76
2015,Los Angeles Angels of Anaheim,85,77
2015,Seattle Mariners,76,86
2015,Oakland Athletics,68,94
2015,New York Mets,90,72
2015,Washington Nationals,83,79
2015,Miami Marlins,71,91
2015,Atlanta Braves,67,95
2015,Philadelphia Phillies,63,99
2015,St. Louis Cardinals,100,62
2015,Pittsburgh Pirates,98,64
2015,Chicago Cubs,97,65
2015,Milwaukee Brewers,68,94
2015,Cincinnati Reds,64,98
2015,Los Angeles Dodgers,92,70
2015,San Francisco Giants,84,78
2015,Arizona Diamondbacks,79,83
2015,San Diego Padres,74,88
2015,Colorado Rockies,68,94
2016,Boston Red Sox,93,69
2016,Baltimore Orioles,89,73
2016,Toronto Blue Jays,89,73
2016,New York Yankees,84,78
2016,Tampa Bay Rays,68,94
2016,Cleveland Indians,94,67
2016,Detroit Tigers,86,75
2016,Kansas City Royals,81,81
2016,Chicago White Sox,78,84
2016,Minnesota Twins,59,103
2016,Texas Rangers,95,67
2016,Seattle Mariners,86,76
2016,Houston Astros,84,78
2016,Los Angeles Angels,74,88
2016,Oakland Athletics,69,93
2016,Washington Nationals,95,67
2016,New York Mets,87,75
2016,Miami Marlins,79,82
2016,Philadelphia Phillies,71,91
2016,Atlanta Braves,68,93
2016,Chicago Cubs,103,58
2016,St. Louis Cardinals,86,76
2016,Pittsburgh Pirates,78,83
2016,Milwaukee Brewers,73,89
2016,Cincinnati Reds,68,94
2016,Los Angeles Dodgers,91,71
2016,San Francisco Giants,87,75
2016,Colorado Rockies,75,87
2016,Arizona Diamondbacks,69,93
2016,San Diego Padres,68,94
2017,Boston Red Sox,93,69
2017,New York Yankees,91,71
2017,Tampa Bay Rays,80,82
2017,Toronto Blue Jays,76,86
2017,Baltimore Orioles,75,87
2017,Cleveland Indians,102,60
2017,Minnesota Twins,85,77
2017,Kansas City Royals,80,82
2017,Chicago White Sox,67,95
2017,Detroit Tigers,64,98
2017,Houston Astros,101,61
2017,Los Angeles Angels,80,82
2017,Seattle Mariners,78,84
2017,Texas Rangers,78,84
2017,Oakland Athletics,75,87
2017,Washington Nationals,97,65
2017,Miami Marlins,77,85
2017,Atlanta Braves,72,90
2017,New York Mets,70,92
2017,Philadelphia Phillies,66,96
2017,Chicago Cubs,92,70
2017,Milwaukee Brewers,86,76
2017,St. Louis Cardinals,83,79
2017,Pittsburgh Pirates,75,87
2017,Cincinnati Reds,68,94
2017,Los Angeles Dodgers,104,58
2017,Arizona Diamondbacks,93,69
2017,Colorado Rockies,87,75
2017,San Diego Padres,71,91
2017,San Francisco Giants,64,98
2018,Boston Red Sox,108,54
2018,New York Yankees,100,62
2018,Tampa Bay Rays,90,72
2018,Toronto Blue Jays,73,89
2018,Baltimore Orioles,47,115
2018,Cleveland Indians,91,71
2018,Minnesota Twins,78,84
2018,Detroit Tigers,64,98
2018,Chicago White Sox,62,100
2018,Kansas City Royals,58,104
2018,Houston Astros,103,59
2018,Oakland Athletics,97,65
2018,Seattle Mariners,89,73
2018,Los Angeles Angels,80,82
2018,Texas Rangers,67,95
2018,Atlanta Braves,90,72
2018,Washington Nationals,82,80
2018,Philadelphia Phillies,80,82
2018,New York Mets,77,85
2018,Miami Marlins,63,98
2018,Milwaukee Brewers,96,67
2018,Chicago Cubs,95,68
2018,St. Louis Cardinals,88,74
2018,Pittsburgh Pirates,82,79
2018,Cincinnati Reds,67,95
2018,Los Angeles Dodgers,92,71
2018,Colorado Rockies,91,72
2018,Arizona Diamondbacks,82,80
2018,San Francisco Giants,73,89
2018,San Diego Padres,66,96
2019,New York Yankees,103,59
2019,Tampa Bay Rays,96,66
2019,Boston Red Sox,84,78
2019,Toronto Blue Jays,67,95
2019,Baltimore Orioles,54,108
2019,Minnesota Twins,101,61
2019,Cleveland Indians,93,69
2019,Chicago White Sox,72,89
2019,Kansas City Royals,59,103
2019,Detroit Tigers,47,114
2019,Houston Astros,107,55
2019,Oakland Athletics,97,65
2019,Texas Rangers,78,84
2019,Los Angeles Angels,72,90
2019,Seattle Mariners,68,94
2019,Atlanta Braves,97,65
2019,Washington Nationals,93,69
2019,New York Mets,86,76
2019,Philadelphia Phillies,81,81
2019,Miami Marlins,57,105
2019,St. Louis Cardinals,91,71
2019,Milwaukee Brewers,89,73
2019,Chicago Cubs,84,78
2019,Cincinnati Reds,75,87
2019,Pittsburgh Pirates,69,93
2019,Los Angeles Dodgers,106,56
2019,Arizona Diamondbacks,85,77
2019,San Francisco Giants,77,85
2019,Colorado Rockies,71,91
2019,San Diego Padres,70,92
2020,Tampa Bay Rays,40,20
2020,New York Yankees,33,27
2020,Toronto Blue Jays,32,28
2020,Baltimore Orioles,25,35
2020,Boston Red Sox,24,36
2020,Minnesota Twins,36,24
2020,Chicago White Sox,35,25
2020,Cleveland Indians,35,25
2020,Kansas City Royals,26,34
2020,Detroit Tigers,23,35
2020,Oakland Athletics,36,24
2020,Houston Astros,29,31
2020,Seattle Mariners,27,33
2020,Los Angeles Angels,26,34
2020,Texas Rangers,22,38
2020,Atlanta Braves,35,25
2020,Miami Marlins,31,29
2020,Philadelphia Phillies,28,32
2020,New York Mets,26,34
2020,Washington Nationals,26,34
2020,Chicago Cubs,34,26
2020,Cincinnati Reds,31,29
2020,St. Louis Cardinals,30,28
2020,Milwaukee Brewers,29,31
2020,Pittsburgh Pirates,19,41
2020,Los Angeles Dodgers,43,17
2020,San Diego Padres,37,23
2020,San Francisco Giants,29,31
2020,Colorado Rockies,26,34
2020,Arizona Diamondbacks,25,35
